GROUPS,FILE NAMES,ATTRIBUTE NAMES,% DISTRIBUTION,expected_dist,upper,lower,real_dist,difference
8-ACCESSORIES,JRS ACCESSORY 5 KATANA BLACK RED.png,KATANA BLACK RED,2,96,98,93,97.0,0.010309278350515427
8-ACCESSORIES,JRS ACCESSORY 6 KATANA GOLD RED.png,KATANA GOLD RED,1,48,49,46,48.0,0.0
8-ACCESSORIES,JRS ACCESSORY 7 KATANA BLACK.png,KATANA BLACK,3,145,149,140,145.0,0.0
8-ACCESSORIES,JRS ACCESSORY 8 SWORD RUSTED.png,SWORD RUSTED,5,242,249,234,242.0,0.0
8-ACCESSORIES,JRS ACCESSORY 9 SWORD BLACK.png,SWORD BLACK,5,242,249,234,242.0,0.0
8-ACCESSORIES,JRS ACCESSORY 10 SWORD GOLD.png,SWORD GOLD,1,48,49,46,48.0,0.0
8-ACCESSORIES,JRS ACCESSORY 11 DAGGER RUSTED.png,DAGGER RUSTED,5,242,249,234,242.0,0.0
8-ACCESSORIES,JRS ACCESSORY 12 DAGGER BLACK.png,DAGGER BLACK,5,242,249,234,242.0,0.0
8-ACCESSORIES,JRS ACCESSORY 13 DAGGER GOLD JRS.png,DAGGER GOLD JRS,3,145,149,140,145.0,0.0
8-ACCESSORIES,JRS ACCESSORY 14 GUN BROWN RUSTED.png,GUN BROWN RUSTED,5,242,249,234,242.0,0.0
8-ACCESSORIES,JRS ACCESSORY 15 GUN BEIGE RUSTED.png,GUN BEIGE RUSTED,5,242,249,234,242.0,0.0
8-ACCESSORIES,JRS ACCESSORY 16 GUN BROWN GOLD.png,GUN BROWN GOLD,4,193,198,187,194.0,0.005154639175257714
8-ACCESSORIES,JRS ACCESSORY 17 GUN BEIGE GOLD JRS.png,GUN BEIGE GOLD JRS,1,48,49,46,48.0,0.0
8-ACCESSORIES,JRS ACCESSORY 18 GUN TAN BEIGE RUSTED.png,GUN TAN BEIGE RUSTED,2,96,98,93,97.0,0.010309278350515427
8-ACCESSORIES,JRS ACCESSORY 19 GUN TAN BROWN RUSTED.png,GUN TAN BROWN RUSTED,2,96,98,93,97.0,0.010309278350515427
8-ACCESSORIES,JRS ACCESSORY 20 GUN TAN BEIGE GOLD JRS.png,GUN TAN BEIGE GOLD JRS,1,48,49,46,48.0,0.0
8-ACCESSORIES,JRS ACCESSORY 21 CHAIN JRS SILVER.png,CHAIN JRS SILVER,2,96,98,93,97.0,0.010309278350515427
8-ACCESSORIES,JRS ACCESSORY 22 CHAIN JRS GOLD.png,CHAIN JRS GOLD,5,242,249,234,242.0,0.0
8-ACCESSORIES,JRS ACCESSORY 23 CHAIN ETH GOLD.png,CHAIN ETH GOLD,2,96,98,93,97.0,0.010309278350515427
8-ACCESSORIES,JRS ACCESSORY 24 CHAIN ETH BLACK BLUE GLOW.png,CHAIN ETH BLACK BLUE GLOW,2,96,98,93,97.0,0.010309278350515427
8-ACCESSORIES,JRS ACCESSORY 25 CHAIN JRS GOLD SKULL.png,CHAIN JRS GOLD SKULL,5,242,249,234,242.0,0.0
9-HATS,JRS HAT 1 PIRATE 1 BROWN 1.png,PIRATE 1 BROWN 1,3,145,149,140,145.0,0.0
